University,Country,City,Category,Overall_Score,Description,Language,Scholarship_Availability,Tuition_Fees_EUR_Per_Year,Website,Fields_of_Study,RANK_2025,QS_Rank_Numeric,Cluster
University of East London,United Kingdom,London,University,,"University of East London is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,27300,http://www.uel.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare, Services",901-950,901,0
Universidad de León,Spain,León,Universidad pública,,"Universidad de León is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Spanish / English,Yes,5700,http://www.unileon.es,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),951-1000,951,2
University of Central Lancashire,United Kingdom,Preston,University,,"University of Central Lancashire is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,16200,http://www.uclan.ac.uk,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",951-1000,951,0
Glasgow Caledonian University,United Kingdom,Glasgow,University,,"Glasgow Caledonian University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,13200,https://www.gcu.ac.uk/,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare",1001-1200,1001,0
Universität Siegen,Germany,Siegen,Universität,,"Universität Siegen is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,1200,http://www.uni-siegen.de,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),1001-1200,1001,4
Sheffield Hallam University,United Kingdom,Sheffield,University,,"Sheffield Hallam University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,29200,http://www.shu.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",1001-1200,1001,0
Canterbury Christ Church University,United Kingdom,Canterbury,University,,"Canterbury Christ Church University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,20700,http://www.canterbury.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare, Services",1001-1200,1001,0
The University of Northampton,United Kingdom,Northampton,University,,"The University of Northampton is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,26500,http://www.northampton.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare, Services",1001-1200,1001,0
Universidad de Castilla-La Mancha,Spain,Ciudad Real,Universidad pública,,"Universidad de Castilla-La Mancha is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Spanish / English,Yes,2900,http://www.uclm.es,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),1001-1200,1001,2
Universitat de Lleida,Spain,Lleida,Universidad pública,,"Universitat de Lleida is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Spanish / English,Yes,3700,http://www.udl.cat,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),1001-1200,1001,2
Université de Poitiers,France,Poitiers,Université,,"Université de Poitiers is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3370,http://www.univ-poitiers.fr/,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare, Services",1001-1200,1001,3
Universidad Rey Juan Carlos,Spain,Madrid,Universidad pública,,"Universidad Rey Juan Carlos is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Spanish / English,Yes,1600,http://www.urjc.es,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),1001-1200,1001,2
Universidad de Oviedo,Spain,Oviedo,Universidad pública,,"Universidad de Oviedo is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Spanish / English,Yes,5800,http://www.uniovi.es,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),1001-1200,1001,2
